Data,Hora,Curva Brusca,Créditos,Zigue Zague,Aceleração Anômala
2024/12/13,18:01:58,false.,2260,,
2024/12/13,18:02:04,false.,2270,,
2024/12/13,18:02:08,false.,2280,,
2024/12/13,18:02:12,false.,2260,true,false
2024/12/13,18:02:16,false.,2270,,
2024/12/13,18:02:21,false.,2280,,
2024/12/13,18:02:25,false.,2290,,
2024/12/13,18:02:30,false.,2300,,
2024/12/13,18:02:34,false.,2310,,
2024/12/13,18:02:38,false.,2320,,
2024/12/13,18:02:43,false.,2330,,
2024/12/13,18:02:48,false.,2340,,
2024/12/13,18:02:53,false.,2350,,
2024/12/13,18:02:57,false.,2330,true,false
2024/12/13,18:03:01,false.,2340,,
2024/12/13,18:03:06,false.,2350,,
2024/12/13,18:03:10,false.,2360,,
2024/12/13,18:03:15,false.,2370,,
2024/12/13,18:03:19,false.,2380,,
2024/12/13,18:03:23,false.,2390,,
2024/12/13,18:03:27,false.,2400,,
2024/12/13,18:03:32,false.,2410,,
2024/12/13,18:03:36,false.,2420,,
2024/12/13,18:03:40,false.,2400,true,false
2024/12/13,18:03:45,true.,2370,,
2024/12/13,18:03:49,true.,2340,,
2024/12/13,18:03:54,false.,2350,,
2024/12/13,18:03:59,false.,2360,,
2024/12/13,18:04:03,true.,2330,,
2024/12/13,18:04:08,false.,2340,,
2024/12/13,18:04:12,false.,2350,,
2024/12/13,18:04:16,false.,2360,,
2024/12/13,18:04:21,false.,2370,,
2024/12/13,18:04:25,false.,2350,true,false
2024/12/13,18:04:29,false.,2360,,
2024/12/13,18:04:34,false.,2370,,
2024/12/13,18:04:38,false.,2380,,
2024/12/13,18:04:43,false.,2390,,
2024/12/13,18:04:48,false.,2400,,
2024/12/13,18:04:53,false.,2410,,
2024/12/13,18:04:57,false.,2420,,
2024/12/13,18:05:02,false.,2430,,
2024/12/13,18:05:06,false.,2440,,
2024/12/13,18:05:10,false.,2420,true,false
2024/12/13,18:05:15,false.,2430,,
2024/12/13,18:05:19,false.,2440,,
2024/12/13,18:05:23,false.,2450,,
2024/12/13,18:05:28,false.,2460,,
2024/12/13,18:05:32,false.,2470,,
2024/12/13,18:05:36,false.,2480,,
2024/12/13,18:05:40,false.,2490,,
2024/12/13,18:05:45,false.,2500,,
2024/12/13,18:05:49,false.,2510,,
2024/12/13,18:05:53,false.,2490,true,false
2024/12/13,18:05:58,true.,2460,,
2024/12/13,18:06:02,true.,2430,,
2024/12/13,18:06:07,true.,2400,,
2024/12/13,18:06:11,false.,2410,,
2024/12/13,18:06:15,false.,2420,,
2024/12/13,18:06:19,false.,2430,,
2024/12/13,18:06:24,false.,2440,,
2024/12/13,18:06:28,false.,2450,,
2024/12/13,18:06:32,false.,2460,,
2024/12/13,18:06:37,false.,2440,true,false
2024/12/13,18:06:42,false.,2450,,
2024/12/13,18:06:46,true.,2420,,
2024/12/13,18:06:51,false.,2430,,
2024/12/13,18:06:55,false.,2440,,
2024/12/13,18:07:00,false.,2450,,
2024/12/13,18:07:04,false.,2460,,
2024/12/13,18:07:09,true.,2430,,
2024/12/13,18:07:13,false.,2440,,
2024/12/13,18:07:19,false.,2450,,
2024/12/13,18:07:23,false.,2430,true,false
2024/12/13,18:07:28,false.,2440,,
2024/12/13,18:07:32,false.,2450,,
2024/12/13,18:07:36,false.,2460,,
2024/12/13,18:07:41,false.,2470,,
2024/12/13,18:07:45,false.,2480,,
2024/12/13,18:07:49,false.,2490,,
2024/12/13,18:07:54,false.,2500,,
2024/12/13,18:07:58,false.,2510,,
2024/12/13,18:08:02,false.,2520,,
2024/12/13,18:08:07,false.,2500,true,false
2024/12/13,18:08:11,false.,2510,,
2024/12/13,18:08:15,false.,2520,,
2024/12/13,18:08:19,false.,2530,,
2024/12/13,18:08:24,false.,2540,,
2024/12/13,18:08:28,false.,2550,,
2024/12/13,18:08:33,false.,2560,,
2024/12/13,18:08:37,false.,2570,,
2024/12/13,18:08:42,false.,2580,,
2024/12/13,18:08:46,true.,2550,,
2024/12/13,18:08:51,false.,2530,true,false
2024/12/13,18:08:55,false.,2540,,
2024/12/13,18:08:59,false.,2550,,
2024/12/13,18:09:04,false.,2560,,
2024/12/13,18:09:08,false.,2570,,
2024/12/13,18:09:12,false.,2580,,
2024/12/13,18:09:17,false.,2590,,
